Latitude,Longitude,Cluster
49.6165598,-100.2569715,85
47.0241239,-52.8864783,-1
49.56263215,-121.4320344,-1
43.79036516,-79.3634074,-1
49.20762944,-122.9062113,104
49.67335115,-124.9835852,64
43.6469937,-79.37729885,142
53.2324574,-112.2326228,-1
51.4704149,-112.7295043,-1
49.3770752,-121.4417775,-1
44.2835436,-78.1737193,99
49.2653981,-123.1007282,119
56.026295,-121.9236905,3
52.19899555,-105.1225226,43
43.7470827,-81.7114308,46
44.7360034,-79.8566298,97
44.74303941,-79.88175838,97
44.3070651,-78.3247748,99
43.74891991,-79.67428799,-1
45.500404,-73.563061,-1
49.256761,-123.049576,-1
43.0365808,-80.86730417,115
51.044438,-114.0573379,83
46.393045,-63.79199,27
45.5048298,-75.49389786,95
45.31785986,-75.71428072,-1
43.36777698,-79.82833847,134
46.482777,-81.00486101,14
52.7433563,-111.5469073,-1
48.7651939,-80.6819724,-1
49.9566145,-110.2732872,51
43.82852522,-79.26341163,-1
44.38253185,-66.22000371,-1
49.9455856,-97.1268105,-1
49.1867096,-99.663543,86
52.3383514,-121.4151438,11
44.84111464,-65.291106,47
47.5560098,-52.71320165,13
43.67072784,-79.38555472,142
49.2397851,-68.1437133,-1
52.8761795,-118.0894309,9
45.27371438,-66.05370532,32
45.3951606,-66.0684098,32
53.52626052,-113.5033717,107
47.57294125,-52.68970544,13
44.61302243,-80.62172995,103
43.1472183,-79.37075509,118
47.2431845,-68.7054096,40
43.31868075,-79.80160724,134
43.4449184,-80.49510959,113
46.143588,-60.198729,31
45.51065,-73.567053,139
48.8259486,-124.0562815,70
50.6748399,-120.3364227,55
44.5470824,-78.5457937,98
45.90145743,-64.5169565,44
46.5372808,-63.6912945,27
49.8870905,-119.4942596,79
49.0105396,-118.774688,-1
49.2330186,-121.9307382,-1
45.9729034,-81.5153861,15
49.68658,-115.9861954,54
49.6691039,-107.0053944,66
51.474106,-109.1701658,-1
43.92385745,-79.55108377,-1
51.01423945,-114.1162943,84
45.0772118,-64.4942276,48
45.5267481,-65.82616949,32
44.2171486,-76.53124216,77
44.23003917,-76.480352,77
44.22373762,-76.49323366,77
52.9526263,-105.0286974,42
49.6646091,-103.8514411,-1
49.6474041,-102.6792117,71
54.0531215,-128.6539692,4
49.08699895,-123.0776064,-1
61.3513197,-139.0094591,1
44.3768572,-64.3097439,34
45.51771625,-75.39058669,95
43.82850412,-79.58399827,-1
50.306282,-104.2923425,62
48.581742,-71.632136,21
46.81482,-71.157911,59
46.814068,-71.206568,59
47.603628,-61.476628,5
48.422856,-71.078013,21
46.0930205,-64.77088349,45
48.121605,-66.448213,17
48.533227,-67.55723,-1
56.1879236,-117.6082752,3
50.2548984,-96.0621364,-1
54.7601027,-111.9718361,-1
44.23343808,-64.37074067,34
47.472544,-70.531038,57
44.76618,-62.94958006,41
50.013898,-119.429088,79
49.7684008,-94.4895432,-1
46.8397208,-55.8243781,8
45.01837,-76.3658737,-1
50.8032852,-108.8855462,-1
44.2753233,-78.1715308,99
52.3610584,-106.9569903,53
49.1666277,-122.5767672,89
51.845664,-105.0358085,43
43.16405063,-79.05572281,118
45.895715,-74.159087,-1
45.42775539,-75.67796491,-1
46.037297,-71.915345,-1
46.9386179,-55.5481043,8
45.32340506,-63.50286052,36
48.471549,-70.967052,21
46.4457167,-71.0266042,52
47.389867,-61.788535,5
46.985113,-70.547269,-1
47.069802,-70.540069,58
46.261217,-71.524558,-1
46.80738815,-71.20775334,59
45.5251021,-73.5888259,-1
44.6080715,-79.3936154,97
